3cpio	0.14.0-1ubuntu1
aardvark-dns	1.16.0-3
accountsservice	23.13.9-8ubuntu5.2
acl	2.3.2-2
adb	1:34.0.5-12build1
adduser	3.153ubuntu1
adwaita-icon-theme	50.0-1
adwaita-qt6:amd64	1.4.2-3build6
alsa-base	1.0.25+dfsg-0ubuntu9
alsa-topology-conf	1.2.5.1-3build1
alsa-ucm-conf	1.2.15.3-1ubuntu1.2
alsa-utils	1.2.15.2-1ubuntu1
amd64-microcode	3.20251202.1ubuntu2
anacron	2.3-45ubuntu1
android-libbase:amd64	1:34.0.5-12build1
android-libboringssl:amd64	14.0.0+r45-3
android-libcutils:amd64	1:34.0.5-12build1
android-liblog:amd64	1:34.0.5-12build1
android-libziparchive:amd64	1:34.0.5-12build1
android-udev-rules	0~20250314+ds-5
apache2	2.4.66-2ubuntu2.4
apache2-bin	2.4.66-2ubuntu2.4
apache2-data	2.4.66-2ubuntu2.4
apache2-utils	2.4.66-2ubuntu2.4
apparmor	5.0.0~beta1-0ubuntu7
apport	2.34.0-0ubuntu2
apport-core-dump-handler	2.34.0-0ubuntu2
apport-gtk	2.34.0-0ubuntu2
apport-symptoms	0.25build1
appstream	1.1.2-1
apt	3.2.0
apt-config-icons	1.1.2-1
apt-config-icons-hidpi	1.1.2-1
apt-utils	3.2.0
aptdaemon	2.0.2build1
aptdaemon-data	2.0.2build1
arch-test	0.22-1.1
aspell	0.60.8.2-3
aspell-en	2020.12.07-0-1.1build1
at-spi2-common	2.60.0-1
at-spi2-core	2.60.0-1
ausweisapp	2.5.0-1
ausweisapp2	2.5.0-1
avahi-daemon	0.8-18ubuntu1.1
avahi-utils	0.8-18ubuntu1.1
baobab	49.1-2
base-files	14ubuntu6.1
base-passwd	3.6.8
bash	5.3-2ubuntu1
bash-completion	1:2.16.0-8build1
bc	1.07.1-4build1
bind9-dnsutils	1:9.20.18-1ubuntu2.1
bind9-host	1:9.20.18-1ubuntu2.1
bind9-libs:amd64	1:9.20.18-1ubuntu2.1
binutils	2.46-3ubuntu2
binutils-common:amd64	2.46-3ubuntu2
binutils-x86-64-linux-gnu	2.46-3ubuntu2
bluez	5.85-4
bluez-cups	5.85-4
bluez-obexd	5.85-4
